,,Mark Rankin Herring,Mark Dudley Obenshain,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Precinct,8 - South Norfolk Recreation,498,474,1,973,0
Precinct,9 - Bells Mill,606,1099,7,1712,0
Precinct,10 - Oscar Smith,229,265,3,497,0
Precinct,11 - Geneva Park,319,419,6,744,0
Precinct,12 - Georgetown,872,158,1,1031,0
Precinct,13 - Gilmerton,468,567,0,1035,0
Precinct,14 - Grassfield,99,173,0,272,0
Precinct,15 - B M Williams,495,391,6,892,0
Precinct,16 - Hickory Grove,330,814,4,1148,0
Precinct,17 - Indian Creek,229,531,2,762,0
Precinct,18 - Indian River,415,244,3,662,0
Precinct,19 - Jolliff,282,561,0,843,0
Precinct,20 - E W Chittum,565,743,5,1313,0
Precinct,21 - Fellowship,406,617,2,1025,0
Precinct,22 - Norfolk Highlands,243,370,3,616,0
Precinct,23 - Oak Grove,522,460,1,983,0
Precinct,24 - Oaklette,494,326,4,824,0
Precinct,25 - St Julians,260,263,6,529,0
Precinct,26 - Johnson Park,246,125,0,371,0
Precinct,27 - Silverwood,572,823,3,1398,0
Precinct,28 - Sunray I,26,105,1,132,0
Precinct,29 - Tanglewood,284,605,2,891,0
Precinct,30 - South Norfolk,482,27,0,509,0
Precinct,31 - Carver School,943,143,1,1087,0
Precinct,32 - Providence,1145,77,4,1226,0
Precinct,33 - Westover,215,345,0,560,0
Precinct,34 - Hickory Middle School,414,1122,3,1539,0
Precinct,35 - Taylor Road,466,194,2,662,0
Precinct,36 - Great Bridge Baptist Church,462,884,3,1349,0
Precinct,37 - Bridgetown,347,609,8,964,0
Precinct,38 - Bailey Creek,310,741,2,1053,0
Precinct,39 - Lake Drummond,183,339,1,523,0
Precinct,40 - River Birch,571,526,1,1098,0
Precinct,41 - John T West,891,696,3,1590,0
Precinct,42 - Parkways,480,399,1,880,0
Precinct,43 - Pleasant Crossing,292,786,1,1079,0
Precinct,44 - Nansemond,405,361,3,769,0
Precinct,45 - Sunray II,278,126,1,405,0
Precinct,46 - Bells Mill II,456,538,0,994,0
Precinct,47 - Green Sea,172,482,3,657,0
Precinct,48 - Jolliff Middle School,1021,95,2,1118,0
Precinct,49 - Waterway,735,1041,3,1779,0
Precinct,50 - River Walk,627,523,3,1153,0
Precinct,51 - Coopers Way,336,1029,3,1368,0
Precinct,52 - Shipyard Road,597,380,1,978,0
Precinct,53 - Fairways,396,320,3,719,0
Precinct,54 - Pughsville,743,291,2,1036,0
Precinct,55 - Georgetown East,658,160,3,821,0
Precinct,56 - Green Tree,500,377,0,877,0
Precinct,57 - Cypress,493,450,0,943,0
Precinct,58 - Expressway,282,97,1,380,0
Precinct,59 - Clearfield,286,344,2,632,0
Precinct,60 - Parker Road,438,950,5,1393,0
Precinct,61 - Centerville,243,772,2,1017,0
Precinct,62 - Fentress,383,790,2,1175,0
Precinct,63 - Poplar Branch,173,577,2,752,0
Precinct,Ab - Central Absentee Precinct,1119,985,2,2106,0
Precinct,Provisional,28,29,1,58,0
Locality,Chesterfield County,46508,57099,358,103965,0
Precinct,101 - Bellwood (CD 4),318,388,2,708,0
Precinct,102 - South Chester (CD 4),600,777,7,1384,0
Precinct,103 - Enon (CD 4),502,947,7,1456,0
Precinct,104 - North Chester (CD 4),520,1014,8,1542,0
Precinct,105 - Drewrys Bluff (CD 4),528,368,2,898,0
Precinct,106 - Harrowgate (CD 4),982,903,7,1892,0
Precinct,107 - Wells (CD 4),617,725,6,1348,0
Precinct,108 - Ecoff (CD 4),660,1285,13,1958,0
Precinct,109 - Elizabeth Scott (CD 4),912,1070,6,1988,0
Precinct,110 - Dutch Gap (CD 4),441,536,2,979,0
Precinct,111 - Iron Bridge (CD 4),1066,1147,6,2219,0
Precinct,112 - Carver (CD 4),628,579,13,1220,0
Precinct,201 - Gates (CD 4),468,611,3,1082,0
Precinct,202 - Beulah (CD 4),891,605,6,1502,0
Precinct,203 - Bird (CD 4),517,357,0,874,0
Precinct,204 - Jacobs (CD 4),471,480,6,957,0
Precinct,205 - Falling Creek (CD 4),1023,587,6,1616,0
Precinct,206 - Belmont (CD 7),613,163,2,778,0
Precinct,207 - Chippenham (CD 4),315,161,1,477,0
Precinct,208 - Meadowbrook (CD 4),934,387,3,1324,0
Precinct,209 - Salem Church (CD 4),650,873,5,1528,0
Precinct,210 - Five Forks (CD 4),994,701,2,1697,0
